19B,
Longitud de onda,Absorbancia
3239.74931,-0.02043
3239.04132,-0.02043
3238.33333,-0.02043
3237.62535,-0.02044
3236.91736,-0.02044
3236.20937,-0.02044
3235.50138,-0.02044
3234.7934,-0.02045
3234.08541,-0.02045
3233.37742,-0.02045
3232.66944,-0.02045
3231.96145,-0.02045
3231.25346,-0.02045
3230.54547,-0.02045
3229.83749,-0.02044
3229.1295,-0.02044
3228.42151,-0.02043
3227.71353,-0.02042
3227.00554,-0.02041
3226.29755,-0.0204
3225.58956,-0.02039
3224.88158,-0.02038
3224.17359,-0.02036
3223.4656,-0.02035
3222.75762,-0.02033
3222.04963,-0.02031
3221.34164,-0.0203
3220.63365,-0.02028
3219.92567,-0.02026
3219.21768,-0.02024
3218.50969,-0.02022
3217.80171,-0.0202
3217.09372,-0.02017
3216.38573,-0.02015
3215.67774,-0.02013
3214.96976,-0.0201
3214.26177,-0.02007
3213.55378,-0.02004
3212.84579,-0.02002
3212.13781,-0.01998
3211.42982,-0.01995
3210.72183,-0.01992
3210.01385,-0.01989
3209.30586,-0.01985
3208.59787,-0.01982
3207.88988,-0.01978
3207.1819,-0.01974
3206.47391,-0.01971
3205.76592,-0.01967
3205.05794,-0.01963
3204.34995,-0.01959
3203.64196,-0.01956
3202.93397,-0.01952
3202.22599,-0.01948
3201.518,-0.01945
3200.81001,-0.01941
3200.10203,-0.01937
3199.39404,-0.01934
3198.68605,-0.0193
3197.97806,-0.01926
3197.27008,-0.01923
3196.56209,-0.01919
3195.8541,-0.01916
3195.14612,-0.01912
3194.43813,-0.01908
3193.73014,-0.01904
3193.02215,-0.01901
3192.31417,-0.01897
3191.60618,-0.01892
3190.89819,-0.01888
3190.19021,-0.01884
3189.48222,-0.01879
3188.77423,-0.01874
3188.06624,-0.01869
3187.35826,-0.01864
3186.65027,-0.01859
3185.94228,-0.01853
3185.2343,-0.01847
3184.52631,-0.01842
3183.81832,-0.01835
3183.11033,-0.01829
3182.40235,-0.01823
3181.69436,-0.01816
3180.98637,-0.0181
3180.27838,-0.01803
3179.5704,-0.01796
3178.86241,-0.01789
3178.15442,-0.01782
3177.44644,-0.01775
3176.73845,-0.01768
