22C,
Longitud de onda,Absorbancia
3505.2445,-0.01449
3504.53651,-0.01452
3503.82852,-0.01454
3503.12054,-0.01457
3502.41255,-0.0146
3501.70456,-0.01463
3500.99657,-0.01466
3500.28859,-0.01468
3499.5806,-0.01471
3498.87261,-0.01474
3498.16463,-0.01476
3497.45664,-0.01479
3496.74865,-0.01482
3496.04066,-0.01484
3495.33268,-0.01487
3494.62469,-0.0149
3493.9167,-0.01492
3493.20872,-0.01495
3492.50073,-0.01498
3491.79274,-0.01501
3491.08475,-0.01503
3490.37677,-0.01506
3489.66878,-0.01509
3488.96079,-0.01512
3488.25281,-0.01515
3487.54482,-0.01518
3486.83683,-0.01521
3486.12884,-0.01524
3485.42086,-0.01527
3484.71287,-0.0153
3484.00488,-0.01533
3483.2969,-0.01536
3482.58891,-0.01538
3481.88092,-0.01541
3481.17293,-0.01544
3480.46495,-0.01546
3479.75696,-0.01549
3479.04897,-0.01552
3478.34099,-0.01554
3477.633,-0.01557
3476.92501,-0.01559
3476.21702,-0.01562
3475.50904,-0.01564
3474.80105,-0.01567
3474.09306,-0.0157
3473.38507,-0.01573
3472.67709,-0.01576
3471.9691,-0.01579
3471.26111,-0.01582
3470.55313,-0.01586
3469.84514,-0.01589
3469.13715,-0.01593
3468.42916,-0.01597
3467.72118,-0.01602
3467.01319,-0.01606
3466.3052,-0.01611
3465.59722,-0.01616
3464.88923,-0.01621
3464.18124,-0.01626
3463.47325,-0.01632
3462.76527,-0.01637
3462.05728,-0.01643
3461.34929,-0.01648
3460.64131,-0.01654
3459.93332,-0.01659
3459.22533,-0.01664
3458.51734,-0.0167
3457.80936,-0.01675
3457.10137,-0.0168
3456.39338,-0.01685
3455.6854,-0.0169
3454.97741,-0.01695
3454.26942,-0.01699
3453.56143,-0.01704
3452.85345,-0.01708
3452.14546,-0.01712
3451.43747,-0.01716
3450.72949,-0.01721
3450.0215,-0.01725
3449.31351,-0.01729
3448.60552,-0.01732
3447.89754,-0.01736
