23A,
Longitud de onda,Absorbancia
3563.29945,-0.01214
3562.59146,-0.01214
3561.88347,-0.01215
3561.17548,-0.01216
3560.4675,-0.01217
3559.75951,-0.01218
3559.05152,-0.01219
3558.34354,-0.01221
3557.63555,-0.01222
3556.92756,-0.01224
3556.21957,-0.01226
3555.51159,-0.01229
3554.8036,-0.01231
3554.09561,-0.01233
3553.38763,-0.01236
3552.67964,-0.01239
3551.97165,-0.01241
3551.26366,-0.01244
3550.55568,-0.01247
3549.84769,-0.01249
3549.1397,-0.01252
3548.43172,-0.01255
3547.72373,-0.01257
3547.01574,-0.01259
3546.30775,-0.01261
3545.59977,-0.01263
3544.89178,-0.01265
3544.18379,-0.01266
3543.47581,-0.01268
3542.76782,-0.01269
3542.05983,-0.0127
3541.35184,-0.0127
3540.64386,-0.01271
3539.93587,-0.01271
3539.22788,-0.01271
3538.51989,-0.01271
3537.81191,-0.0127
3537.10392,-0.0127
3536.39593,-0.0127
3535.68795,-0.01269
3534.97996,-0.01269
3534.27197,-0.01269
3533.56398,-0.01268
3532.856,-0.01268
3532.14801,-0.01269
3531.44002,-0.01269
3530.73204,-0.0127
3530.02405,-0.01271
3529.31606,-0.01272
3528.60807,-0.01274
3527.90009,-0.01276
3527.1921,-0.01278
3526.48411,-0.01281
3525.77613,-0.01284
3525.06814,-0.01287
3524.36015,-0.0129
3523.65216,-0.01294
3522.94418,-0.01298
3522.23619,-0.01302
3521.5282,-0.01305
3520.82022,-0.01309
3520.11223,-0.01313
3519.40424,-0.01317
3518.69625,-0.01321
3517.98827,-0.01325
3517.28028,-0.01329
3516.57229,-0.01332
3515.86431,-0.01336
3515.15632,-0.01339
3514.44833,-0.01342
3513.74034,-0.01345
3513.03236,-0.01348
3512.32437,-0.01351
3511.61638,-0.01354
3510.9084,-0.01356
3510.20041,-0.01359
3509.49242,-0.01361
3508.78443,-0.01363
3508.07645,-0.01365
3507.36846,-0.01367
3506.66047,-0.01369
3505.95248,-0.0137
3505.2445,-0.01372
3504.53651,-0.01374
3503.82852,-0.01376
3503.12054,-0.01377
3502.41255,-0.01379
3501.70456,-0.01381
3500.99657,-0.01383
3500.28859,-0.01386
3499.5806,-0.01388
3498.87261,-0.0139
3498.16463,-0.01393
3497.45664,-0.01396
3496.74865,-0.01399
3496.04066,-0.01402
3495.33268,-0.01406
3494.62469,-0.01409
3493.9167,-0.01413
3493.20872,-0.01417
3492.50073,-0.01421
3491.79274,-0.01425
3491.08475,-0.01429
3490.37677,-0.01434
3489.66878,-0.01438
3488.96079,-0.01442
3488.25281,-0.01446
3487.54482,-0.01451
3486.83683,-0.01455
3486.12884,-0.01459
3485.42086,-0.01463
3484.71287,-0.01466
3484.00488,-0.0147
3483.2969,-0.01474
3482.58891,-0.01477
3481.88092,-0.0148
3481.17293,-0.01483
3480.46495,-0.01486
3479.75696,-0.0149
3479.04897,-0.01493
3478.34099,-0.01496
3477.633,-0.01499
3476.92501,-0.01502
3476.21702,-0.01505
3475.50904,-0.01508
3474.80105,-0.01511
3474.09306,-0.01514
3473.38507,-0.01517
3472.67709,-0.0152
3471.9691,-0.01523
3471.26111,-0.01527
3470.55313,-0.0153
3469.84514,-0.01533
3469.13715,-0.01536
3468.42916,-0.0154
3467.72118,-0.01543
3467.01319,-0.01547
3466.3052,-0.0155
3465.59722,-0.01554
3464.88923,-0.01558
3464.18124,-0.01562
3463.47325,-0.01567
3462.76527,-0.01571
3462.05728,-0.01576
3461.34929,-0.0158
3460.64131,-0.01585
3459.93332,-0.01591
3459.22533,-0.01596
3458.51734,-0.01601
3457.80936,-0.01607
3457.10137,-0.01612
3456.39338,-0.01618
3455.6854,-0.01623
3454.97741,-0.01629
3454.26942,-0.01634
3453.56143,-0.01639
3452.85345,-0.01644
3452.14546,-0.01649
3451.43747,-0.01654
3450.72949,-0.01658
3450.0215,-0.01662
3449.31351,-0.01667
3448.60552,-0.01671
3447.89754,-0.01674
3447.18955,-0.01678
3446.48156,-0.01682
3445.77358,-0.01685
3445.06559,-0.01689
3444.3576,-0.01692
3443.64961,-0.01696
3442.94163,-0.01699
3442.23364,-0.01702
3441.52565,-0.01706
3440.81766,-0.01709
3440.10968,-0.01713
3439.40169,-0.01716
3438.6937,-0.0172
3437.98572,-0.01723
3437.27773,-0.01727
3436.56974,-0.01731
3435.86175,-0.01735
3435.15377,-0.01739
3434.44578,-0.01743
3433.73779,-0.01747
3433.02981,-0.01752
3432.32182,-0.01757
3431.61383,-0.01761
3430.90584,-0.01766
3430.19786,-0.01772
3429.48987,-0.01777
3428.78188,-0.01783
3428.0739,-0.01788
3427.36591,-0.01794
3426.65792,-0.018
3425.94993,-0.01806
3425.24195,-0.01812
3424.53396,-0.01818
3423.82597,-0.01824
3423.11799,-0.0183
3422.41,-0.01836
3421.70201,-0.01842
3420.99402,-0.01848
3420.28604,-0.01853
3419.57805,-0.01859
3418.87006,-0.01864
3418.16208,-0.01869
3417.45409,-0.01874
3416.7461,-0.01878
3416.03811,-0.01883
3415.33013,-0.01887
3414.62214,-0.01892
3413.91415,-0.01896
3413.20617,-0.019
3412.49818,-0.01904
3411.79019,-0.01908
3411.0822,-0.01912
3410.37422,-0.01916
3409.66623,-0.0192
3408.95824,-0.01924
3408.25025,-0.01927
3407.54227,-0.01931
3406.83428,-0.01935
3406.12629,-0.01938
3405.41831,-0.01942
3404.71032,-0.01946
3404.00233,-0.01949
3403.29434,-0.01953
3402.58636,-0.01956
3401.87837,-0.0196
3401.17038,-0.01963
3400.4624,-0.01967
3399.75441,-0.0197
3399.04642,-0.01974
3398.33843,-0.01978
3397.63045,-0.01981
3396.92246,-0.01985
3396.21447,-0.01989
3395.50649,-0.01993
3394.7985,-0.01997
3394.09051,-0.02001
3393.38252,-0.02005
3392.67454,-0.0201
3391.96655,-0.02014
3391.25856,-0.02018
3390.55058,-0.02022
3389.84259,-0.02027
3389.1346,-0.02031
3388.42661,-0.02035
3387.71863,-0.02039
3387.01064,-0.02043
3386.30265,-0.02047
3385.59467,-0.02051
3384.88668,-0.02055
3384.17869,-0.02059
3383.4707,-0.02062
3382.76272,-0.02066
3382.05473,-0.02069
3381.34674,-0.02072
3380.63876,-0.02075
3379.93077,-0.02077
3379.22278,-0.0208
3378.51479,-0.02082
3377.80681,-0.02084
3377.09882,-0.02086
3376.39083,-0.02088
3375.68284,-0.02089
3374.97486,-0.02091
3374.26687,-0.02092
3373.55888,-0.02093
3372.8509,-0.02093
3372.14291,-0.02094
3371.43492,-0.02095
3370.72693,-0.02095
3370.01895,-0.02095
3369.31096,-0.02095
3368.60297,-0.02095
3367.89499,-0.02095
3367.187,-0.02095
3366.47901,-0.02095
3365.77102,-0.02095
3365.06304,-0.02095
3364.35505,-0.02095
3363.64706,-0.02095
3362.93908,-0.02095
3362.23109,-0.02096
3361.5231,-0.02096
3360.81511,-0.02097
3360.10713,-0.02098
3359.39914,-0.021
3358.69115,-0.02101
3357.98317,-0.02103
3357.27518,-0.02105
3356.56719,-0.02107
3355.8592,-0.0211
3355.15122,-0.02112
3354.44323,-0.02115
3353.73524,-0.02117
3353.02726,-0.0212
3352.31927,-0.02122
3351.61128,-0.02125
3350.90329,-0.02127
3350.19531,-0.02129
3349.48732,-0.02131
3348.77933,-0.02133
3348.07135,-0.02134
3347.36336,-0.02136
3346.65537,-0.02137
3345.94738,-0.02137
3345.2394,-0.02138
3344.53141,-0.02138
3343.82342,-0.02138
3343.11543,-0.02138
3342.40745,-0.02137
3341.69946,-0.02136
3340.99147,-0.02135
3340.28349,-0.02134
3339.5755,-0.02133
3338.86751,-0.02132
3338.15952,-0.02131
3337.45154,-0.02129
3336.74355,-0.02128
3336.03556,-0.02126
3335.32758,-0.02125
3334.61959,-0.02124
3333.9116,-0.02122
3333.20361,-0.02121
3332.49563,-0.0212
3331.78764,-0.02119
3331.07965,-0.02118
3330.37167,-0.02117
3329.66368,-0.02116
3328.95569,-0.02115
3328.2477,-0.02115
3327.53972,-0.02114
3326.83173,-0.02114
3326.12374,-0.02113
3325.41576,-0.02113
3324.70777,-0.02113
3323.99978,-0.02112
3323.29179,-0.02112
3322.58381,-0.02112
3321.87582,-0.02111
3321.16783,-0.02111
3320.45985,-0.0211
3319.75186,-0.02109
3319.04387,-0.02108
3318.33588,-0.02107
3317.6279,-0.02105
3316.91991,-0.02104
3316.21192,-0.02102
3315.50394,-0.021
3314.79595,-0.02098
3314.08796,-0.02096
3313.37997,-0.02093
3312.67199,-0.02091
3311.964,-0.02088
3311.25601,-0.02086
3310.54802,-0.02083
3309.84004,-0.02081
3309.13205,-0.02079
3308.42406,-0.02076
3307.71608,-0.02074
3307.00809,-0.02072
3306.3001,-0.0207
